Gen	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	t_n16	t_n17	mu	sigma2	lnL
1	155.9866652	98.7040745	84.0422024	81.7131310	62.6165677	23.8859346	9.6181808	4.8033497	0.0091937	0.0058593	-7.091
5000	167.5235169	100.3008142	92.0878904	89.3954958	61.4235344	24.7424083	11.9141686	5.6873166	0.0039882	0.0150203	-6.304
10000	166.3174786	97.8696066	84.4136726	81.6482067	61.3979770	24.7580210	10.0006696	5.1575209	0.0066126	0.0059201	-7.799
15000	154.3940997	95.2206203	76.5749360	73.9558482	60.2350373	23.0558597	8.8720483	4.3550808	0.0030462	0.0144970	-10.861
20000	165.7606256	95.9499785	84.7292972	81.6259382	63.9931139	22.4901107	9.0939826	4.5885864	0.0048364	0.0076633	-2.160
25000	150.1543891	94.0614206	80.5091039	77.2702395	63.8948183	25.8747942	10.4726356	5.9816868	0.0053222	0.0068261	-3.585
30000	157.9379268	96.5070668	86.6315209	84.0345104	58.6428729	21.7290722	11.1374652	6.1534689	0.0054885	0.0084882	-9.954
35000	150.0749492	101.3705502	89.2441537	86.3847999	63.1877113	27.9889572	12.0126309	5.0725657	0.0035384	0.0048750	-13.039
40000	152.6433266	96.7883302	84.8822824	80.9666331	60.2676416	23.9229042	9.3680703	4.3302863	0.0088046	0.0104227	-14.344
45000	157.9196182	98.7234836	82.1742885	79.2225247	62.1281659	25.8192743	11.2856653	6.0145292	0.0051178	0.0048589	-6.677
50000	164.6264903	100.0362050	85.4730867	82.0422305	58.9383545	23.0593046	12.2084216	6.0294062	0.0090389	0.0093883	-8.692
55000	150.5436134	93.5803562	81.0346103	78.6312645	61.4738293	22.0379859	8.6144275	4.7817810	0.0184875	0.0133714	-8.996
60000	157.7531443	93.8811799	84.5446717	82.3381272	62.7939506	21.2067157	6.9466664	3.5486749	0.0029797	0.0049125	-7.811
65000	165.2179751	98.0814386	86.8244886	83.9165572	59.6495723	21.7242668	9.7045121	4.8125785	0.0025756	0.0056813	-7.798
70000	166.2174688	94.4774147	80.4832982	77.8015207	63.7154428	23.0702246	9.7264152	5.4080580	0.0051416	0.0051126	-7.094
75000	150.0544796	92.6159663	78.2941895	75.4933271	59.1331454	22.2251601	10.7936395	5.3363799	0.0179514	0.0226117	-10.770
80000	153.8824179	98.6552631	87.2489955	84.5466452	58.5332996	21.5272182	7.9148684	4.1039297	0.0028959	0.0059149	-1.520
85000	151.4769489	92.4588498	80.8431514	78.8485322	62.5621539	23.4012715	10.0679039	5.0223584	0.0034359	0.0079804	-5.769
90000	150.7765220	101.9309136	86.5526398	83.4610038	62.8428207	23.7474394	10.8005812	5.6200670	0.0028698	0.0081584	-9.673
95000	157.6618834	94.0408820	80.6300820	78.4273917	61.6284748	25.0256701	10.6478461	5.8337871	0.0027869	0.0049322	-6.379
